Product ID;Ürün Adı;SKU;Barkod;Normal Fiyat;İndirimli Fiyat
bcf9e862-8a92-45b3-a427-3a803283a98f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Mürdüm;SWS9071;235590003581;3748.75;2248.95
bcf9e862-8a92-45b3-a427-3a803283a98f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Mürdüm;SWS9071;235590003582;3748.75;2248.95
bcf9e862-8a92-45b3-a427-3a803283a98f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Mürdüm;SWS9071;235590003583;3748.75;2248.95
bcf9e862-8a92-45b3-a427-3a803283a98f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Mürdüm;SWS9071;235590003584;3748.75;2248.95
64e3cee8-5040-4dc4-b7e1-1d4bd114915f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Siyah;SWS9071;235590003550;3748.75;2248.95
64e3cee8-5040-4dc4-b7e1-1d4bd114915f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Siyah;SWS9071;235590003551;3748.75;2248.95
64e3cee8-5040-4dc4-b7e1-1d4bd114915f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Siyah;SWS9071;235590003552;3748.75;2248.95
64e3cee8-5040-4dc4-b7e1-1d4bd114915f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Siyah;SWS9071;235590003553;3748.75;2248.95
64e3cee8-5040-4dc4-b7e1-1d4bd114915f;Agraf Detaylı Klasik Ceket ve Kumaş Pantolon Siyah;SWS9071;235590003554;3748.75;2248.95
79452a65-3b8c-434a-a69c-70b61b29449a;Agraflı Truvakar Kol Bej Ceket;SWS3673;2130590002808;1828.75;799
79452a65-3b8c-434a-a69c-70b61b29449a;Agraflı Truvakar Kol Bej Ceket;SWS3673;2130590002809;1828.75;799
79452a65-3b8c-434a-a69c-70b61b29449a;Agraflı Truvakar Kol Bej Ceket;SWS3673;2130590002810;1828.75;799
79452a65-3b8c-434a-a69c-70b61b29449a;Agraflı Truvakar Kol Bej Ceket;SWS3673;2130590002811;1828.75;799
79452a65-3b8c-434a-a69c-70b61b29449a;Agraflı Truvakar Kol Bej Ceket;SWS3673;2130590002812;1828.75;799
3969873d-6a38-4e17-bfc6-b808099928d5;Agraflı Truvakar Kol Beyaz Ceket;SWS3673;;1828.75;799
3969873d-6a38-4e17-bfc6-b808099928d5;Agraflı Truvakar Kol Beyaz Ceket;SWS3673;;1828.75;799
3969873d-6a38-4e17-bfc6-b808099928d5;Agraflı Truvakar Kol Beyaz Ceket;SWS3673;;1828.75;799
3969873d-6a38-4e17-bfc6-b808099928d5;Agraflı Truvakar Kol Beyaz Ceket;SWS3673;;1828.75;799
3969873d-6a38-4e17-bfc6-b808099928d5;Agraflı Truvakar Kol Beyaz Ceket;SWS3673;;1828.75;799
13b49454-3d55-47a3-97d6-3bf2e53ae5a2;Agraflı Truvakar Kol Ceket Kırmızı;SWS3673;2130590002798;1828.75;799
13b49454-3d55-47a3-97d6-3bf2e53ae5a2;Agraflı Truvakar Kol Ceket Kırmızı;SWS3673;2130590002799;1828.75;799
13b49454-3d55-47a3-97d6-3bf2e53ae5a2;Agraflı Truvakar Kol Ceket Kırmızı;SWS3673;2130590002800;1828.75;799
13b49454-3d55-47a3-97d6-3bf2e53ae5a2;Agraflı Truvakar Kol Ceket Kırmızı;SWS3673;2130590002801;1828.75;799
13b49454-3d55-47a3-97d6-3bf2e53ae5a2;Agraflı Truvakar Kol Ceket Kırmızı;SWS3673;2130590002802;1828.75;799
916810e8-4554-429a-985e-c2e255f2de59;Agraflı Truvakar Kol Ceket Mavi;SWS3673;2130590002803;1828.75;799
916810e8-4554-429a-985e-c2e255f2de59;Agraflı Truvakar Kol Ceket Mavi;SWS3673;2130590002804;1828.75;799
916810e8-4554-429a-985e-c2e255f2de59;Agraflı Truvakar Kol Ceket Mavi;SWS3673;2130590002805;1828.75;799
916810e8-4554-429a-985e-c2e255f2de59;Agraflı Truvakar Kol Ceket Mavi;SWS3673;2130590002806;1828.75;799
916810e8-4554-429a-985e-c2e255f2de59;Agraflı Truvakar Kol Ceket Mavi;SWS3673;2130590002807;1828.75;799
7622ab59-4c50-48c5-9e9c-80ef17fcd2e8;Agraflı Truvakar Kol Mor Ceket;SWS3673;2130590002788;1828.75;799
7622ab59-4c50-48c5-9e9c-80ef17fcd2e8;Agraflı Truvakar Kol Mor Ceket;SWS3673;2130590002789;1828.75;799
7622ab59-4c50-48c5-9e9c-80ef17fcd2e8;Agraflı Truvakar Kol Mor Ceket;SWS3673;2130590002790;1828.75;799
7622ab59-4c50-48c5-9e9c-80ef17fcd2e8;Agraflı Truvakar Kol Mor Ceket;SWS3673;2130590002791;1828.75;799
7622ab59-4c50-48c5-9e9c-80ef17fcd2e8;Agraflı Truvakar Kol Mor Ceket;SWS3673;2130590002792;1828.75;799
46b6fcd8-5cf8-433b-b768-fe2985b49108;Agraflı Truvakar Kol Mürdüm Ceket;SWS3673;2130590002793;1828.75;799
46b6fcd8-5cf8-433b-b768-fe2985b49108;Agraflı Truvakar Kol Mürdüm Ceket;SWS3673;2130590002794;1828.75;799
46b6fcd8-5cf8-433b-b768-fe2985b49108;Agraflı Truvakar Kol Mürdüm Ceket;SWS3673;2130590002795;1828.75;799
46b6fcd8-5cf8-433b-b768-fe2985b49108;Agraflı Truvakar Kol Mürdüm Ceket;SWS3673;2130590002796;1828.75;799
46b6fcd8-5cf8-433b-b768-fe2985b49108;Agraflı Truvakar Kol Mürdüm Ceket;SWS3673;2130590002797;1828.75;799
